MBs,B
8.29,13486
19.4,1141
11.9,1397
436,5424835
479,16357867
500,7861333
438,6974236
442,7662404
401,7923478
428,10633509
487,13729778
497,7838500
430,4810565
590,10111920
605,4558553
598,9976441
521,10160193
408,7107280
601,7567859
576,16325005
399,6511116
12.7,2511
422,4311383
521,7942945
439,9051592
590,12287734
591,4473577
590,4772259
438,6447635
541,8454877
379,5553405
458,8318593
481,3679049
406,11174036
507,4463319
493,8885711
592,5358427
515,7882696
495,6022565
443,11246146
17.7,11956490
29.1,10969834
60.1,3605198
69.1,7174449
69.6,10977417
67.2,9053549
65.6,8834407
71.7,8343320
66.6,11279495
69.5,14491458
27.5,3472821
67.4,5951879
70.3,12940109
76.6,9867931
62.8,20475364
69.3,7174449
102,1034
61.9,15013934
63.6,9761252
67.2,14054063
65.3,16261356
56.3,11216107
30.3,11254967
70.5,10959658
47.8,8578764
61.6,3345638
65.2,12158198
71.9,9407933
60.2,9830707
18.6,19159417
18.0,2059
13.0,4315449
80.0,4189449
3.73,7005099
78.9,5421089
47.2,9145561
60.7,6059910
73.9,14663718
10.5,18054703
11.2,1326893
14.4,11959329
16.9,8005769
2.60,7298814
4.86,6758376
50.8,9639353
74.1,27633940
68.3,8820005
69.4,9881016
67.0,9578016
67.1,6191501
70.7,11011292
69.3,8134492
68.2,4186767
72.8,6130909
80.5,5705333
79.2,8344490
66.4,8511162
57.7,4015806
51.9,6459163
18.0,1111
81.7,6435467
66.5,4513622
58.5,3940373
67.4,8513457
74.1,7072209
69.6,8778977
75.8,13805579
10.6,6956076
15.6,16882237
72.0,7222790
52.2,2141421
12.9,7770878
80.1,5236780
80.3,6663490
16.3,3292
20.1,547296
51.8,2444515
58.6,2368882
47.5,2684889
18.5,1450942
3.16,3049962
57.8,2476772
60.2,3294546
46.1,1215395
60.2,2076349
49.9,2857306
47.2,1364919
55.0,4550097
57.9,4109647
64.0,3112704
47.3,1888739
64.8,4160111
2.75,5360757
55.7,3393214
60.6,3561759
26.8,7808195
42.7,1891498
55.4,4034381
51.1,2726270
68.0,13487141
43.9,1561988
47.7,3029263
56.0,2137397
32.6,1277861
58.4,6758291
49.4,1316993
78.7,1579282
52.4,2441370
51.1,1326569
55.7,2227292
53.6,4652587
46.9,2216240
59.0,2654259
57.2,3195018
44.9,1724214
60.9,5105434
4.05,1451422
1.98,4094341
57.6,2593409
47.4,2150370
48.6,2092683
61.4,533
59.6,7467893
54.4,3256010
63.2,6726672
67.6,4499824
78.2,4573935
61.7,6449887
23.6,1292
61.7,11218172
70.2,15510123
68.4,10099693
39.6,13405287
69.2,6371783
27.9,14938571
28.6,7461921
62.0,7644979
13.2,8136050
9.86,4535204
67.2,5122729
2.34,15157725
71.0,12972000
66.2,8856839
66.6,6851503
79.5,5392165
70.4,4115714
21.2,1986
72.9,18518896
71.8,13131095
70.7,8036633
68.6,7012811
63.2,9990477
40.6,2667593
51.6,2389041
59.9,2362193
63.1,7451784
57.9,9216932
45.0,2009382
35.2,11085774
57.6,3710596
56.6,5535280
65.1,2852368
70.2,12686526
52.3,2335130
67.9,8229195
58.1,2313459
71.2,11701381
72.0,9494186
74.6,8136201
79.5,7368493
66.5,6463490
66.0,6899085
68.0,5279987
70.8,5501282
15.0,4738
72.3,6555901
61.1,3910341
3.07,5954043
51.8,1949704
55.9,9585288
59.9,5246400
62.6,2861142
70.6,5809691
72.7,7661563
64.4,2543331
50.2,1495710
56.9,2073425
57.4,1937904
63.8,5010602
60.7,2790717
79.6,2811509
52.0,1774806
55.9,2030943
54.3,5159679
80.7,4597479
8.90,9114492
5.23,1604966
32.4,5157368
53.4,3195000
61.4,5407120
65.1,4122383
68.9,12010984
67.0,3473077
52.6,5213819
78.7,4645145
65.0,9165021
71.7,6396654
80.0,7802598
52.5,2410659
50.8,2508500
5.30,16826653
41.8,1756446
50.0,4269979
60.0,4245534
78.2,4661272
57.2,3300163
69.4,5460158
47.4,2416096
75.4,7854194
79.0,5980394
69.1,7640301
73.9,10586158
68.0,3978012
52.4,1956796
67.7,8038934
72.0,8279901
78.1,6582077
70.7,5823932
40.1,1668663
46.8,1539763
48.2,2266691
60.0,3365903
55.4,6474636
80.5,4439984
47.0,1796321
47.6,2796373
57.2,5576814
53.5,2247806
2.20,2090547
4.38,5089009
73.3,10826392
70.2,10205994
256,891
69.9,11075844
72.1,7731803
71.9,16201110
4.76,26519115
73.9,37665201
62.3,2605755
63.0,2355137
55.6,4811679
79.7,7607275
79.9,5352725
73.1,25825160
6.88,2465
69.7,6883164
64.2,3175605
53.1,4978493
79.7,4015805
54.6,3398339
53.8,4850572
50.4,4273363
67.6,5028255
79.4,6332635
72.8,4756973
73.6,3842089
81.0,4014860
79.3,3873418
79.0,4089780
72.5,5535497
79.3,4959173
64.6,2721017
56.8,3070160
53.4,3184882
60.5,3352284
59.5,3047791
58.2,5219461
81.4,4782593
79.3,3957781
79.3,4863538
81.3,3426286
61.8,4470586
22.0,5170909
8.66,4860208
78.4,3458767
82.1,3885340
81.1,3449554
77.9,3524415
4.04,3175233
158,469
5.97,6242261
58.0,4300389
51.6,2493029
71.0,6131196
60.3,2505209
