MBs,B
243,3635
13.0,148
427,3635
464,3635
317,3635
451,3635
25.5,216
215,11510
32.5,225
537,4478
633,7744
431,3472
606,6450
160,3642
108,10062
303,1992
500,4212
695,6240
127,14326
443,3030
1006,7652
266,1798
515,3635
426,3635
316,3635
422,3635
416,3404
538,4478
530,4478
554,4478
549,4478
29.3,221
83.5,5424835
73.1,16357867
26.6,7861333
90.0,6974236
89.1,7662404
76.1,7923478
66.3,10633509
63.9,13729778
32.6,7838500
79.8,4810565
62.5,10111920
57.8,4558553
68.3,9976441
64.8,10160193
69.7,7107280
19.6,7567859
41.0,16325005
27.8,6511116
2.27,7744
1.72,7744
1.21,7744
1.28,7744
67.2,4311383
79.9,7942945
75.9,9051592
66.0,12287734
85.5,4473577
73.7,4772259
91.2,6447635
79.6,8454877
89.4,5553405
185,8318593
19.2,3679049
17.4,11174036
519,4463319
518,8885711
508,5358427
516,7882696
517,6022565
473,11246146
517,11956490
503,10969834
497,3605198
489,7174449
477,10977417
471,9053549
568,8834407
377,8343320
472,11279495
451,14491458
493,3472821
495,5951879
487,12940109
390,9867931
501,20475364
420,7174449
1.09,3472
1.01,3472
1.08,3472
1.05,3472
486,15013934
469,9761252
486,14054063
498,16261356
504,11216107
503,11254967
415,10959658
470,8578764
582,3345638
545,12158198
410,9407933
472,9830707
475,19159417
1.32,6450
2.00,6450
2.24,6450
2.20,6450
519,4315449
595,4189449
556,7005099
544,5421089
553,9145561
483,6059910
562,14663718
547,18054703
575,1326893
567,11959329
582,8005769
471,7298814
462,6758376
311,9639353
437,27633940
494,8820005
574,9881016
541,9578016
488,6191501
529,11011292
574,8134492
569,4186767
451,6130909
527,5705333
512,8344490
519,8511162
484,4015806
425,6459163
1.20,3642
1.18,3642
1.16,3642
1.17,3642
448,6435467
584,4513622
488,3940373
522,8513457
590,7072209
498,8778977
486,13805579
593,6956076
543,16882237
575,7222790
597,2141421
590,7770878
579,5236780
558,6663490
75.5,10062
139,10062
276,10062
298,10062
580,547296
575,2444515
596,2368882
602,2684889
562,1450942
592,3049962
601,2476772
598,3294546
587,1215395
554,2076349
574,2857306
617,1364919
577,4550097
569,4109647
579,3112704
525,1888739
466,4160111
489,5360757
483,3393214
504,3561759
522,7808195
552,1891498
463,4034381
486,2726270
531,13487141
606,1561988
587,3029263
569,2137397
434,1277861
496,6758291
346,1316993
563,1579282
496,2441370
469,1326569
345,2227292
363,4652587
503,2216240
520,2654259
512,3195018
531,1724214
268,5105434
390,1451422
526,4094341
593,2593409
465,2150370
424,2092683
393,1992
461,1992
440,1992
443,1992
382,7467893
585,3256010
591,6726672
263,4499824
517,4573935
585,6449887
1.33,4212
1.32,4212
1.33,4212
1.33,4212
502,11218172
540,15510123
566,10099693
501,13405287
375,6371783
483,14938571
507,7461921
486,7644979
573,8136050
507,4535204
466,5122729
554,15157725
435,12972000
466,8856839
509,6851503
531,5392165
526,4115714
1.99,6240
1.93,6240
2.05,6240
1.94,6240
451,18518896
458,13131095
498,8036633
533,7012811
529,9990477
550,2667593
501,2389041
412,2362193
600,7451784
570,9216932
333,2009382
482,11085774
387,3710596
533,5535280
259,2852368
520,12686526
584,2335130
447,8229195
482,2313459
472,11701381
507,9494186
586,8136201
582,7368493
517,6463490
503,6899085
568,5279987
587,5501282
305,14326
142,14326
220,14326
225,14326
339,6555901
451,3910341
513,5954043
563,1949704
545,9585288
573,5246400
542,2861142
486,5809691
451,7661563
466,2543331
459,1495710
478,2073425
361,1937904
409,5010602
601,2790717
439,2811509
319,1774806
328,2030943
498,5159679
568,4597479
360,9114492
252,1604966
568,5157368
575,3195000
573,5407120
581,4122383
568,12010984
583,3473077
600,5213819
552,4645145
536,9165021
419,6396654
595,7802598
610,2410659
573,2508500
514,16826653
601,1756446
611,4269979
608,4245534
472,4661272
437,3300163
494,5460158
364,2416096
525,7854194
496,5980394
521,7640301
562,10586158
579,3978012
599,1956796
586,8038934
577,8279901
588,6582077
595,5823932
588,1668663
515,1539763
468,2266691
361,3365903
481,6474636
480,4439984
466,1796321
350,2796373
366,5576814
553,2247806
582,2090547
412,5089009
563,10826392
474,10205994
735,3030
844,3030
914,3030
660,3030
458,11075844
560,7731803
551,16201110
443,26519115
500,37665201
477,2605755
393,2355137
399,4811679
425,7607275
488,5352725
505,25825160
2.12,7652
2.23,7652
1.97,7652
812,7652
356,6883164
586,3175605
586,4978493
439,4015805
607,3398339
473,4850572
514,4273363
583,5028255
358,6332635
451,4756973
455,3842089
600,4014860
554,3873418
591,4089780
594,5535497
589,4959173
595,2721017
590,3070160
588,3184882
611,3352284
606,3047791
589,5219461
591,4782593
583,3957781
584,4863538
594,3426286
586,4470586
588,5170909
580,4860208
628,3458767
451,3885340
568,3449554
364,3524415
479,3175233
508,1798
651,1798
624,1798
626,1798
315,6242261
461,4300389
439,2493029
581,6131196
513,2505209
503,4478
461,4478
502,4478
533,4478
885,7744
625,7744
881,7744
806,7744
430,3472
415,3472
425,3472
431,3472
752,6450
740,6450
817,6450
804,6450
489,3642
600,3642
471,3642
472,3642
119,10062
129,10062
112,10062
114,10062
638,1992
632,1992
638,1992
637,1992
1.31,4212
1.31,4212
1.28,4212
1.30,4212
1.86,6240
1.83,6240
2.19,6240
704,6240
161,14326
185,14326
164,14326
148,14326
367,3030
371,3030
813,3030
1.20,3030
2.73,7652
2.67,7652
2.76,7652
1.08,7652
293,1798
585,1798
602,1798
606,1798
