MBs,B
86.7,3636
8.43,148
121,3636
118,3636
122,3636
119,3636
11.6,216
115,11510
15.2,225
173,4479
212,7745
144,3473
190,6451
113,3643
59.5,10063
182,1993
349,4213
467,6241
198,14327
295,3031
487,7653
149,1799
335,3636
355,3636
280,3636
297,3636
319,3404
351,4479
396,4479
216,4479
210,4479
23.2,221
292,5424835
288,16357867
316,7861333
291,6974236
316,7662404
317,7923478
311,10633509
293,13729778
298,7838500
297,4810565
310,10111920
311,4558553
314,9976441
321,10160193
315,7107280
295,7567859
305,16325005
284,6511116
390,7745
419,7745
248,7745
254,7745
289,4311383
272,7942945
247,9051592
296,12287734
255,4473577
304,4772259
281,6447635
312,8454877
301,5553405
306,8318593
283,3679049
307,11174036
293,4463319
285,8885711
306,5358427
296,7882696
307,6022565
286,11246146
279,11956490
312,10969834
297,3605198
287,7174449
301,10977417
281,9053549
299,8834407
312,8343320
308,11279495
298,14491458
288,3472821
294,5951879
310,12940109
313,9867931
289,20475364
242,7174449
317,3473
313,3473
324,3473
321,3473
307,15013934
312,9761252
313,14054063
296,16261356
309,11216107
296,11254967
277,10959658
266,8578764
176,3345638
317,12158198
315,9407933
307,9830707
305,19159417
433,6451
453,6451
466,6451
466,6451
215,4315449
295,4189449
299,7005099
231,5421089
242,9145561
283,6059910
294,14663718
307,18054703
281,1326893
262,11959329
286,8005769
312,7298814
314,6758376
300,9639353
291,27633940
284,8820005
306,9881016
308,9578016
304,6191501
314,11011292
292,8134492
259,4186767
315,6130909
277,5705333
258,8344490
279,8511162
313,4015806
320,6459163
328,3643
342,3643
346,3643
340,3643
286,6435467
325,4513622
270,3940373
315,8513457
319,7072209
309,8778977
309,13805579
316,6956076
309,16882237
317,7222790
310,2141421
308,7770878
308,5236780
310,6663490
111,10063
170,10063
171,10063
127,10063
245,547296
252,2444515
289,2368882
313,2684889
318,1450942
260,3049962
315,2476772
317,3294546
317,1215395
220,2076349
295,2857306
318,1364919
318,4550097
241,4109647
321,3112704
313,1888739
267,4160111
309,5360757
315,3393214
219,3561759
315,7808195
311,1891498
312,4034381
313,2726270
308,13487141
314,1561988
324,3029263
306,2137397
305,1277861
285,6758291
308,1316993
249,1579282
247,2441370
118,1326569
138,2227292
273,4652587
281,2216240
221,2654259
284,3195018
285,1724214
200,5105434
323,1451422
244,4094341
210,2593409
286,2150370
201,2092683
226,1993
222,1993
226,1993
227,1993
256,7467893
320,3256010
292,6726672
290,4499824
299,4573935
235,6449887
233,4213
242,4213
241,4213
245,4213
301,11218172
318,15510123
310,10099693
309,13405287
322,6371783
312,14938571
305,7461921
307,7644979
309,8136050
320,4535204
315,5122729
299,15157725
314,12972000
316,8856839
317,6851503
281,5392165
316,4115714
472,6241
431,6241
444,6241
463,6241
291,18518896
313,13131095
315,8036633
286,7012811
313,9990477
317,2667593
318,2389041
274,2362193
313,7451784
312,9216932
316,2009382
285,11085774
309,3710596
304,5535280
240,2852368
311,12686526
275,2335130
305,8229195
307,2313459
312,11701381
304,9494186
320,8136201
322,7368493
258,6463490
294,6899085
299,5279987
325,5501282
187,14327
201,14327
133,14327
139,14327
267,6555901
310,3910341
285,5954043
294,1949704
310,9585288
311,5246400
314,2861142
308,5809691
311,7661563
314,2543331
314,1495710
284,2073425
326,1937904
321,5010602
221,2790717
319,2811509
317,1774806
328,2030943
229,5159679
311,4597479
312,9114492
323,1604966
315,5157368
314,3195000
330,5407120
300,4122383
311,12010984
318,3473077
311,5213819
274,4645145
289,9165021
283,6396654
284,7802598
283,2410659
291,2508500
270,16826653
287,1756446
286,4269979
284,4245534
285,4661272
283,3300163
285,5460158
286,2416096
286,7854194
289,5980394
285,7640301
283,10586158
312,3978012
284,1956796
289,8038934
307,8279901
294,6582077
292,5823932
312,1668663
304,1539763
280,2266691
274,3365903
301,6474636
298,4439984
312,1796321
315,2796373
249,5576814
314,2247806
240,2090547
289,5089009
288,10826392
311,10205994
281,3031
279,3031
275,3031
280,3031
242,11075844
247,7731803
246,16201110
248,26519115
251,37665201
245,2605755
242,2355137
242,4811679
243,7607275
241,5352725
318,25825160
404,7653
491,7653
499,7653
511,7653
243,6883164
289,3175605
284,4978493
287,4015805
309,3398339
295,4850572
281,4273363
282,5028255
314,6332635
315,4756973
305,3842089
186,4014860
200,3873418
243,4089780
241,5535497
244,4959173
242,2721017
246,3070160
183,3184882
241,3352284
310,3047791
304,5219461
316,4782593
316,3957781
313,4863538
316,3426286
311,4470586
312,5170909
288,4860208
308,3458767
316,3885340
294,3449554
299,3524415
306,3175233
105,1799
201,1799
164,1799
77.8,1799
224,6242261
228,4300389
156,2493029
311,6131196
314,2505209
211,4479
373,4479
380,4479
371,4479
120,7745
144,7745
183,7745
150,7745
123,3473
74.8,3473
75.1,3473
75.7,3473
121,6451
174,6451
168,6451
108,6451
70.1,3643
132,3643
127,3643
127,3643
48.9,10063
52.0,10063
51.1,10063
48.0,10063
81.1,1993
55.5,1993
56.4,1993
56.2,1993
161,4213
160,4213
158,4213
161,4213
197,6241
198,6241
204,6241
204,6241
93.7,14327
96.9,14327
91.9,14327
62.9,14327
81.5,3031
84.5,3031
84.9,3031
84.4,3031
208,7653
161,7653
196,7653
200,7653
84.6,1799
82.6,1799
87.4,1799
84.9,1799
